year,title,author,url,title_describe
2021,Глубокое обучение для поисковых систем,Теофили Т.,https://t.me/+3U_oBsJ32dZjMTYy,"глубокое обучение для поисковых систем в книге рассказывается о том, как использовать глубокие нейронные сети для создания эффективных поисковых систем. рассматривается несколько компонентов поисковой системы, дается представление о том, как они работают, и приводятся рекомендации по использованию нейронных сетей в разных контекстах поиска. особое внимание уделено практическому объяснению методов поиска и глубокого машинного обучения на базе примеров, большинство которых включает фрагменты кода. автор освещает основные проблемы, связанные с поисковыми системами, и указывает пути решения этих проблем. он раскрывает принципы тестирования эффективности нейронных сетей, а также измерения их затрат и выгод. издание предназначено для читателей, владеющих программированием на среднем уровне и отлаживающих поисковые системы с целью повышения их эффективности, то есть выдачи наиболее релевантных результатов. "
2020,Машинное обучение. Паттерны проектирования,"В. Лакшманан, М. Мунн, С. Робинсон",https://t.me/+3U_oBsJ32dZjMTYy,"машинное обучение. паттерны проектирования приводимые в книге паттерны проектирования отражают лучшие практические подходы к решению типичных задач машинного обучения. указанные паттерны, реализованные в программном коде, сконцентрировали опыт сотен экспертов в простые и легкодоступные советы. книга содержит подробный разбор 30 паттернов, служащих для представления данных и задач, тренировки моделей, отказоустойчивого обслуживания, обеспечения воспроизводимо-сти и искусственного интеллекта. каждый паттерн включает в себя постановку задачи, ряд потенциальных решений и рекомендации по выбору технического приема, наилучшим образом подходящего к данной ситуации. "
2022,Микроконтроллеры и микропроцессорные устройства в электроэнергетике,Бершадский И.А.,https://t.me/+3U_oBsJ32dZjMTYy,"микроконтроллеры и микропроцессорные устройства в электроэнергетике рассмотрены принципы построения микропроцессорных систем, архитектура и назначение ее отдельных элементов, средства согласования микропроцессорных систем с объектами управления, методы программирования микроконтроллеров ауб, базовые примеры применения микроконтроллеров. показано использование микроконтроллеров в электроэнергетике. для студентов электроэнергетических направлений подготовки. может быть полезно специалистам в области электроэнергетики и электротехники. "
2021,Исследование временных рядов в среде R,Альсова О.К.,https://t.me/+3U_oBsJ32dZjMTYy,"исследование временных рядов в среде r рассмотрены вопросы, связанные с решением задач исследования и прогнозирования временных рядов средствами языка и среды статистических вычислений r. в качестве математического аппарата используются классические параметрические вероятностно-статистические модели и методы анализа временных рядов. для каждого метода дано краткое теоретическое описание, позволяющее понять его суть и особенности применения, и приведено описание основных функций языка r, реализующих метод. основное внимание в пособии уделено рассмотрению технологии методики исследования и прогнозирования временного ряда с помощью среды r. "
2021,Программирование на VBA в Excel 2019: Самоучитель,"Н. Комолова, А. Клименко",https://t.me/+3U_oBsJ32dZjMTYy,"программирование на vba в excel 2019: самоучитель книга научит самостоятельно создавать приложения для автоматизации работы в программе microsoft office excel 2019 с использованием макросов и языка программирования visual basic for applications vba . приведена информация о новинках программы, а также сервисах power по работе с данными. даны теоретические сведения о программировании, элементах объектной модели excel, запуске и отладке макросов. рассмотрены вопросы автоматизации рабочего листа при помощи элементов управления excel. описаны приемы создания макросов, пользовательских функций и форм в редакторе vbe. приведены способы взаимодействия при помощи vba с другими программами пакета microsoft office. для закрепления материала рассмотрены примеры пользовательских приложений с анализом и поясняющими комментариями. основные термины vba и редактора vbe приведены в глоссарии. файлы рабочих книг с поддержкой макросов для каждой главы размещены на сайте издательства. "
2020,"Laravel. Полное руководство, 3-е изд.",Мэтт Стаффер,https://t.me/+3U_oBsJ32dZjMTYy,"laravel. полное руководство, 3-е изд. мэтт стаффер, известный преподаватель и ведущий разработчик, представляет полный обзор фреймворка и конкретные примеры работы с ним. опытным php-разработчикам книга поможет быстро разобраться с темой, чтобы реализовать проект на laravel. в обновленном руководстве рассматриваются в том числе совершенно новые инструменты аутентификации и разработки пользовательских интерфейсов, а также ряд сторонних инструментов, появившихся после выхода в свет второго издания. "
2024,Microsoft Office Excel 2019: В подлиннике,Л. Рудикова,https://t.me/+3U_oBsJ32dZjMTYy,"microsoft office excel 2019: в подлиннике наиболее полное руководство по возможностям и средствам, доступным пользователям в версии microsoft office excel 2019. изложены базовые сведения о работе с табличным процессором и форматами обрабатываемых данных, возможности создания и редактирования формул и функций на рабочих листах, визуализации данных с использованием диаграмм и карт, возможности интеграции с другими офисными приложениями. показаны приемы совместного редактирования документов excel в браузере прямо на веб-сайте. описана работа со списками и базами данных, встроенными инструментами 3d maps, wordart, smartart, power pivot, средствами графической обработки данных и др. . рассмотрены вопросы обработки и анализа данных, настройка пользовательского интерфейса. даны основы автоматизации в среде visual basic for applications. все возможности программы продемонстрированы на практических примерах. "
2020,Основы TypeScript. 3-е изд.,Адам Фримен,https://t.me/+3U_oBsJ32dZjMTYy,"основы typescript. 3-е изд. полностью обновленное третье издание классического бестселлера адама фримена. в нем освещены все возможности typescript 5, включая новые, такие как декораторы. сначала вы узнаете, зачем и почему был создан язык typescript, а затем почти сразу перейдете к практическому применению статических типов. каждая глава посвящена навыкам, необходимым для написания потрясающих веб-приложений. "
2024,Эксперт C++,"Гуерра Х.М., Тигранян А., Асатрян И., Григорян В.,",https://t.me/+3U_oBsJ32dZjMTYy,"эксперт c основная целевая аудитория - опытные разработчики на c , желающие повысить свою квалификацию и создавать приложения профессионального уровня. если вы хотите освоить сложные концепции программирования, повысить производительность приложений или изучить передовые методы, эта книга станет ценным источником информации на вашем пути. вторичная целевая аудитория охватывает инженеров-программистов и студентов, изучающих компьютерные науки и заинтересованных в изучении передовых методов программирования на c и открытии реальных приложений этого языка. изучив содержание этой книги, вы сможете расширить свои знания и развить практический опыт в использовании языка c для решения различных проектов и задач. независимо от вашего образования и уровня опыта, эксперт c призван наделить вас ценными знаниями и практическими навыками, которые помогут вам стать опытным и умелым программистом на c . "
2023,"Самоучитель системного администратора, 7-е издание",Кенин А.М.,https://t.me/+3U_oBsJ32dZjMTYy,"самоучитель системного администратора, 7-е издание изложены основные задачи системного администрирования, описаны базовые протоколы, даны рекомендации по выбору оборудования и проведению ежедневных рутинных операций. подробно раскрыты технологии, используемые при построении информационных систем, описаны средства мониторинга и обслуживания как малых, так и распредел нных сетей. рассмотрены методы централизованного управления, основы создания безопасной среды. даны рекомендации по поиску неисправностей, обеспечению защиты данных. параллельно рассмотрены решения на основе операционных систем windows и linux с использованием как проприетарных, так и открытых технологий. книга написана на основе многолетнего опыта разработки и практического администрирования информационных систем. в 7-м издании весь материал актуализирован для windows server 2022 русская версия , дополнительно рассмотрены файрвол ufw, утилита monit, виртуализация средствами kvm. для начинающих системных администраторов "
2024,Математическое программирование,Рубанова Н. А.,https://t.me/+3U_oBsJ32dZjMTYy,"математическое программирование в пособии изложены теоретические сведения, примеры решения задач и типовые расчеты по ряду разделов математического программирования, а именно по линейному программированию, целочисленному линейному программированию, транспортной задаче, сетевому планированию и теории игр. "
2024,Инженерия машинного обучения,Бурков А.,https://t.me/+3U_oBsJ32dZjMTYy,"инженерия машинного обучения книга представляет собой подробный обзор передовых практик и паттернов проектирования в области прикладного машинного обучения. в отличие от многих учебников, уделяется внимание инженерным аспектам мо. рассматриваются сбор, хранение и предобработка данных, конструирование признаков, а также тестирование и отладка моделей, развертывание и вывод из эксплуатации, сопровождение на этапе выполнения и в процессе эксплуатации. "
2022,Информационная безопасность для пользователя. Правила самозащиты в Интернете,М. Райтман,https://t.me/+3U_oBsJ32dZjMTYy,"информационная безопасность для пользователя. правила самозащиты в интернете книга о безопасной работе в интернете и защите персональных данных, в том числе с соблюдением мер анонимизации и приватности. рассматриваются вопросы выбора надежных паролей, использования прокси-серверов, анонимных сетей и vpn, технологии шифрования и защищенного общения. особое внимание уделено анонимной операционной системе tails, рекомендуемой эдвардом сноуденом. приведены способы конспиративного общения по защищенным каналам связи и подключения к анонимным сетям, таким как i2p retroshare и др. даются практические рекомендации по безопасной работе с торрентами, мессенджерами, файловыми архивами. книга поможет разобраться в устройстве даркнета и варезной сцены. отдельная глава посвящена луковой архитектуре и браузеру тог. особое внимание уделено кастомизации устанавливаемых программ. "
2023,R. К вершинам мастерства,"Хэдли Уикем, Мальте Гроссер",https://t.me/+3U_oBsJ32dZjMTYy,"r. к вершинам мастерства r безусловно лучшая среда для интерактивного анализа данных. тем не менее язык r имеет множество особенностей, которые иногда скудно документированы. в данной книге хэдли уикем, один из лучших в мире гуру по r, проясняет эти неясные уголки и знакомит с современными библиотеками языка. в книге приведены решения и подробные комментарии ко всем упражнениям. издание предназначено программистам r, желающим углубить свои знания, а также будет полезно разработчикам на других языках, стремящимся узнать, что же делает язык r таким особенным. "
2024,Сервер на Windows и Linux. Администрирование и виртуализация,"Левицкий Н.Д., Завьялов А.В.",https://t.me/+3U_oBsJ32dZjMTYy,"сервер на windows и linux. администрирование и виртуализация в этой книге вы сможете найти полезную информацию по администрированию и использованию серверов на windows и linux, причем как физических локальных , так и виртуальных. вы узнаете об отличиях, недостатках и преимуществах физического и виртуального сервера - вполне возможно, что это поможет вам определиться с типом сервера для своих личных задач. в первой части книги будет рассмотрен windows server - вы узнаете об управлении сервером мониторинге процессов, сервисов и событий автоматизации административных задач основах безопасности управлении учетными записями пользователя и группы, как управлять сетью tcp/ip и использовать сервисы dns и dhcp. также подробно рассмотрим active directory - разворачивание, основы администрирования, доменные службы active directory. во второй части книги будет рассмотрен linux-cepвep для локальной сети - вы узнаете об управлении процессами и загрузкой ос маршрутизации и настройке брандмауэра доменной системе имен как использовать удаленный вход в систему по ssh. отдельно будет рассказано про файловый сервер ftp и dнср-сервер, приведены примеры использования сервера. заключительная часть книги посвящена виртуальным серверам на windows и linux - рассмотрим вопросы преобразования виртуальных машин из одного формата в другой какой гипервизор выбрать на случай, если вы предпочитаете строить инфраструктуру виртуализации самостоятельно , рассмотрим виртуальный сервер на базе коммерческого решения - vmware, а также бесплатного гипервизора - kvm. книга будет полезна как системным администраторам различного уровня, так и обычным пользователям, заинтересованным в изучении серверов и сетевых технологий. "
2023,React быстро. 2-е межд. изд.,"Мардан Азат, Барклунд Мортен",https://t.me/+3U_oBsJ32dZjMTYy,"react быстро. 2-е межд. изд. react быстро. 2-е издание предлагает уникальный подход к освоению фреймворка react. более 80 компактных примеров проведут читателя от изучения основ работы к созданию довольно сложных приложений. в книге подробно описаны многие функциональные компоненты, хуки react и средства доступности веб-приложений, а также представлены интересные проекты для отработки новых навыков. "
2024,99 вариантов доказательства,Филип Ординг,https://t.me/+3U_oBsJ32dZjMTYy,"99 вариантов доказательства эта книга предлагает взглянуть на математику с разных сторон, ознакомившись с 99 различными доказательствами одной и той же теоремы. в каждой главе приводятся решения в общем-то ничем не примечательного кубического уравнения разными стилями разными с точки зрения исторического контекста, уровня формализации и богатства воображения. вы встретите средневековую, топологическую, стихотворную, хроматическую, электростатическую и психоделическую вариации обнаружите неожиданные связи самых разных областей человеческого духа: от мистицизма до технологии и от архитектуры до языка жестов. демонстрируя редкое сочетаний юмора и ученой уверенности в себе, филип ординг сплетает эти вариации в доступный широкой публике и разноплановый рассказ о природе и практических занятиях математикой. пользуясь рисунками, редкими книгами и другим изобразительным материалом, автор иллюстрирует гибкость и творческий потенциал математики, опровергая ее репутацию точной, строгой и сухой науки. это не математический трактат по кубическим уравнениям, да и сам выбор конкретного уравнения был сделан почти произвольно. несмотря на исторические аллюзии, на которые намекают названия глав, это не книга4 по истории математики. хотя онтологический характер содержания и стиля может стать предметом спора, это все же не философская работа. это книга о математике, ее отношении к миру, ее нормам, воззрениям и практикам короче говоря, о ее культуре. вне зависимости от уровня подготовки читатель откроет в этих доказательствах и сопровождающих их комментариях новые удивительные черты математического ландшафта. "
